Albañilería;;;;
;4224;Sólo desmontaje o montaje de mueble de cocina - 1ª unidad;41,67;;
;4225;Sólo desmontaje o montaje de mueble de cocina - unidad adicional;28,34;;
;4226;Desmontaje/montaje de encimera de cocina (no piedra) hasta 3,60 ml;104,53;;
;4227;Desmontaje/montaje de encimera de cocina (no piedra) - ml adicional;19,19;;
;4228;Sólo desmontaje o montaje de encimera de cocina (no piedra) hasta 3,60 ml.;73,16;;
;4229;Sólo desmontaje o montaje de encimera de cocina (no piedra) ml. adicional;13,40;;
;4240;Sustitución de casco de módulo de cocina hasta 90 cm - 1ª unidad;148,09;;
;4241;Sustitución de casco de módulo de cocina hasta 90 cm - unidad adicional;123,94;;
;4242;Sustitución de casco de módulo de cocina más de 90 cm - 1ª unidad;169,20;;
;4243;Sustitución de casco de módulo de cocina más de 90 cm - unidad adicional;149,22;;
;4244;Sustitución de casco de módulo rinconero alto - 1ª unidad;222,87;;
;4245;Sustitución de casco de módulo rinconero alto - unidad adicional;193,13;;
;4246;Sustitución de casco de módulo rinconero bajo, columna, escobero - 1ª unidad;235,69;;
;4247;Sustitución de casco de módulo rinconero bajo, columna, escobero - unidad adicional;218,06;;
;4248;Sustitución de costado, trasera o base de modulo de mueble bajo o alto;83,57;;
;4249;Sustitución de costado decorativo de frigorífico o columna - 1ª unidad;171,58;;
;4250;Sustitución de costado decorativo de frigorífico o columna - unidad adicional;151,65;;
;4251;Sustitución de costado decorativo alto o bajo - 1ª unidad;104,41;;
;4252;Sustitución de costado decorativo alto o bajo - unidad adicional;85,63;;
;4253;Sustitución de puerta de mueble de cocina (postformado calidad estándar) - 1ª unidad;81,61;;
;4254;Sustitución de puerta de mueble de cocina (postformado calidad estándar) - unidad adicional;61,39;;
;4255;Sustitución de puerta de mueble de cocina de hoja barnizada - 1ª unidad;115,33;;
;4256;Sustitución de puerta de mueble de cocina de hoja barnizada - unidad adicional;104,35;;
;4257;Sustitución de zócalo, cornisa o portaluz - hasta 3,60 ml.;100,47;;
;4258;Sustitución de zócalo, cornisa o portaluz - ml adicional;27,24;;
;4280;Sustitución de encimera de cocina (no piedra) hasta 3,60 ml.;351,99;;
;4281;Sustitución de encimera de cocina (no piedra) ml. adicional;92,58;;
;4300;Sustitución de mueble de baño hasta 80 cm de ancho;360,61;;
;4301;Sustitución de mueble de baño hasta 100 cm de ancho;444,63;;
;4302;Sustitución de mueble de baño hasta 120 cm de ancho;554,88;;
;4303;Desmontaje y montaje de mueble de lavabo (sólo mano de obra);93,02;;
;4320;Suministro y colocación de puerta blindada completa;888,62;;
;4321;Suministro y colocación de hoja de puerta blindada;615,22;;
;4322;Suministro y colocación de puerta acorazada;1276,81;;
;4323;Suministro y colocación de hoja de puerta acorazada;825,78;;
;4324;Suministro y colocación de puerta exterior de madera maciza;696,87;;
;4325;Suministro y colocación de hoja de puerta de madera maciza;434,88;;
;4326;Sustitución de puerta de entrada maciza / blindada (sólo mano de obra);147,42;;
;4327;Sustitución de puerta de entrada acorazada (sólo mano de obra);232,47;;
;4340;Sustitución de hoja de puerta de paso hueca - 1ª unidad;189,63;;
;4341;Sustitución de hoja de puerta de paso hueca - unidad adicional;159,75;;
;4342;Sustitución de hoja de puerta de paso maciza - 1ª unidad;259,64;;
;4343;Sustitución de hoja de puerta de paso maciza - unidad adicional;229,64;;
;4344;Sustitución de conjunto de puerta de paso hueca - 1ª unidad;261,58;;
;4345;Sustitución de conjunto de puerta de paso hueca - unidad adicional;214,89;;
;4346;Sustitución de conjunto de puerta de paso maciza - 1ª unidad;341,38;;
;4347;Sustitución de conjunto de puerta de paso maciza - unidad adicional;299,26;;
;4348;Suplemento por puerta vidriera (sin cristales);55,42;;
;4349;Sustitución de hoja de puerta de paso no baremada (sólo mano de obra) - 1ª unidad;73,71;;
;4350;Sustitución de hoja de puerta de paso no baremada (sólo mano de obra) - unidad adicional;54,31;;
;4351;Sustitución de conjunto de puerta de paso no baremada (sólo mano de obra) - 1ª unidad;100,93;;
;4352;Sustitución de conjunto de puerta de paso no baremada (sólo mano de obra) - unidad adicional;83,13;;
;4380;Reposición de jambas o tapajuntas de puerta de paso en 1 cara- 1ª unidad;59,56;;
;4381;Reposición de jambas o tapajuntas de puerta de paso en 1 cara - ud adicional;48,29;;
;4382;Reposición de cerco o batiente de puerta de paso - 1ª unidad;135,22;;
;4383;Reposición de cerco o batiente de puerta de paso - ud adicional;120,81;;
;4384;Reposición de jambas y cerco de puerta de paso - 1ª unidad;196,04;;
;4385;Reposición de jambas y cerco de puerta de paso - ud adicional;178,50;;
;4386;Reposición de jambas o tapajuntas de puerta de entrada en 1 cara- 1ª unidad;80,49;;
;4387;Reposición de jambas o tapajuntas de puerta de entrada en 1 cara - ud adicional;61,47;;
;4388;Reposición de cerco o batiente de puerta de entrada - 1ª unidad;155,93;;
;4389;Reposición de cerco o batiente de puerta de entrada - ud adicional;139,82;;
;4390;Reposición de jambas y cerco de puerta de entrada - 1ª unidad;224,72;;
;4391;Reposición de jambas y cerco de puerta de entrada - ud adicional;215,85;;
;4420;Cepillado de puerta de paso - 1ª unidad;45,98;;
;4421;Cepillado de puerta de paso - unidad adicional;28,92;;
;4422;Cepillado o rebaje de puerta exterior - 1ª unidad;75,98;;
;4423;Cepillado o rebaje de puerta exterior - unidad adicional;60,78;;
;4424;Lacar/esmaltar puerta de madera tras reparación puntual (inc. cerco y jambas) - 1ª unidad;96,96;;
;4425;Lacar/esmaltar puerta de madera tras reparación puntual (inc. cerco y jambas) - unidad adicional;82,22;;
;4426;Barnizar puerta de madera tras reparación puntual (inc. cerco y jambas) - 1ª unidad;76,04;;
;4427;Barnizar puerta de madera tras reparación puntual (inc. cerco y jambas) - unidad adicional;58,40;;
;4428;Lacar/esmaltar puerta de madera nueva (inc. cerco y jambas) - 1ª unidad;150,62;;
;4429;Lacar/esmaltar puerta de madera nueva (inc. cerco y jambas) - unidad adicional;140,05;;
;4430;Barnizar puerta de madera nueva (inc. cerco y jambas) - 1ª unidad;139,31;;
;4431;Barnizar puerta de madera nueva (inc. cerco y jambas) - unidad adicional;116,46;;
;4460;Ml.Rodapié aglomerado;8,19;;
;4461;Ml.Rodapié macizo 7/9 cm;9,81;;
;4462;Ml.Rodapié macizo 10/15 cm;11,48;;
;4463;Ud.Sustitución de rodapié de 7 cm a 15 cm hasta 5 ml. Incompatible con otro trabajo;69,30;;
;4464;Ml.Sustitución de rodapié de 7 cm a 15 cm ml. adicional. Incompatible con otro trabajo;10,88;;
;4480;Material de carpintería no incluido en baremo;;;
;4481;Visita sin valoración de trabajos;20,35;;
;4482;Tarifa / hora mano de obra de carpintería;24,50;;
;4483;Tarifa / hora mano de obra de ayudante de carpintería;16,80;;
;4428;Lacar/esmaltar puerta de madera nueva (inc. cerco y jambas) - 1ª unidad;146,10;;
;4249;Sustitución de costado decorativo de frigorífico o columna - 1ª unidad;166,43;;
;4346;Sustitución conjunto puerta de paso maciza;331,14;;
;4428;Lacar/esmaltar puerta de madera nueva;146,10;;
;4482;Tarifa / hora mano de obra carpintería;26,46;;
;4380;Reposición de jambas o tapajuntas de puerta de paso en 1 cara- 1ª unidad;57,78;;
;4482;Tarifa / hora mano de obra de carpintería;24,50;;
;4424;Lacar/esmaltar puerta de madera tras reparación puntual (inc. cerco y jambas) - 1ª unidad;94,05;;
;4483;Tarifa / hora mano de obra de ayudante de carpintería;16,00;;
;4220;Desmontaje y montaje de módulo de cocina - 1ª unidad;53,71;;
;4221;Desmontaje y montaje de módulo de cocina - unidad adicional;30,95;;
;4384;Reposición de jambas y cerco de puerta de paso - 1ª unidad;202,15;;
;4420;Cepillado de puerta de paso - 1ª unidad;47,40;;
;4257;Sustitución de zócalo, cornisa o portaluz - hasta 3,60 ml.;97,45;;
;4249;Sustitución de costado decorativo de frigorífico o columna - 1ª unidad;166,43;;
;4347;Sustitución de conjunto de puerta de paso maciza - unidad adicional;290,28;;
;4240;Sustitución de casco de módulo de cocina hasta 90 cm - 1ª unidad;152,67;;
;4251;Sustitución de costado decorativo alto o bajo - 1ª unidad;101,28;;
;4253;Sustitución de puerta de mueble de cocina (postformado calidad estándar) - 1ª unidad;79,17;;
;4254;Sustitución de puerta de mueble de cocina (postformado calidad estándar) - unidad adicional;59,55;;
;4243;Sustitución de casco de módulo de cocina más de 90 cm - unidad adicional;144,74;;
;4421;Cepillado de puerta de paso - unidad adicional;28,05;;
;4224;Sólo desmontaje o montaje de mueble de cocina - 1ª unidad;40,42;;
;4225;Sólo desmontaje o montaje de mueble de cocina - unidad adicional;30,95;;
;4162;Ud.Cepillado o rebaje de puerta de paso;27,81;;
;4242;Sustitución de casco de módulo de cocina más de 90 cm - 1ª unidad;174,43;;
;4351;Sustitución de conjunto de puerta de paso no baremada (sólo mano de obra) - 1ª unidad;104,41;;
;4352;Sustitución de conjunto de puerta de paso no baremada (sólo mano de obra) - unidad adicional;85,63;;
;4462;Ml.Rodapié macizo 10/15 cm;11,14;;
;4222;Desmontaje y montaje de módulo rinconero, columna o costado de frigorífico - 1ª ud;71,20;;
;4241;Sustitución de casco de módulo de cocina hasta 90 cm - unidad adicional;120,22;;
;4280;Sustitución de encimera de cocina (no piedra) hasta 3,60 ml.;362,88;;
;4346;Sustitución de casco de módulo rinconero bajo, columna, escobero - 1ª unidad;242,98;;
Electricidad;;;;
;8000;Siniestro sin cobertura/siniestro no reparado (única intervención en el siniestro);30,25;;
;8020;Únicamente reestablecimiento de luz (código único por siniestro);35,92;;
;8021;Reparación de cortocircuito o derivación simple (max 2h) (código único por siniestro);54,42;;
;8040;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 2x25 A  - 1ª unidad;48,98;;
;8041;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 2x25 A  - ud. adicional;24,68;;
;8042;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 2x40 A  - 1ª unidad;64,33;;
;8043;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 2x40 A  - ud. adicional;43,41;;
;8044;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 2x63 A  - 1ª unidad;110,01;;
;8045;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 2x63 A   - ud. adicional;82,71;;
;8046;Sustitución de diferencial hasta 2x40A 30 mA  - 1ª unidad;59,47;;
;8047;Sustitución de diferencial hasta 2x40A 30 mA  - ud. adicional;45,84;;
;8048;Sustitución de diferencial hasta 2x63A 30 mA  - 1ª unidad;247,42;;
;8049;Sustitución de diferencial hasta 2x63A 30 mA  - ud. adicional;200,93;;
;8050;Sustitución de diferencial rearmable hasta 2  x 40A 30 mA - 1ª unidad;223,78;;
;8051;Sustitución de diferencial rearmable hasta 2  x 40A 30 mA - ud. adicional;208,75;;
;8052;Reposición diferencial 2p hasta 40A 30mA superinmunizado;209,44;;
;8053;Reposición diferencial 2p hasta 40A 30mA superinmunizado - unidad adicional;183,86;;
;8080;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 4x25 A  - 1ª unidad;100,79;;
;8081;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 4x25 A  - ud. adicional;74,59;;
;8082;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 4x40 A  - 1ª unidad;118,46;;
;8083;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 4x40 A  - ud. adicional;86,67;;
;8084;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 4X50 A  - 1ª unidad;199,61;;
;8085;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 4X50 A  - ud. adicional;161,53;;
;8086;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 4x63A  - 1ª unidad;205,92;;
;8087;Sustitución de magnetotérmico (ICP, IGA o sectorial) hasta 4x63A  - ud. adicional;171,77;;
;8088;Sustitución de diferencial hasta 4x40A 300 mA  - 1ª unidad;168,10;;
;8089;Sustitución de diferencial hasta 4x40A 300 mA  - ud. adicional;131,33;;
;8090;Sustitución de diferencial hasta 4x63A 300 mA  - 1ª unidad;216,06;;
;8091;Sustitución de diferencial hasta 4x63A 300 mA  - ud. adicional;190,68;;
